entity,label,frequency,source_count,source_urls
Porsche,ORG,40,5,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html | https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/
Stellantis,ORG,22,3,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
VW,ORG,21,3,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
China,GPE,19,7,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html | https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Volkswagen,ORG,19,3,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
BMW,ORG,18,2,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Jaguar,ORG,18,1,https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
2026,DATE,15,5,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html | https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Toyota,ORG,15,3,https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/ | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
2025,DATE,14,6,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html | https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
2024,DATE,14,4,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
U.S.,GPE,11,3,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
Germany,GPE,11,4,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
Year,DATE,9,6,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motor1.com/features/774899/bmw-toyota-right-engine-strategy/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns | https://www.thetruthaboutcars.com/cars/news-blog/jaguar-sales-drop-by-97-percent-in-europe-which-is-allegedly-fine-45129343
Ram,ORG,9,2,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Jeep,ORG,8,2,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans
Oliver Blume,PERSON,8,6,https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://newsroom.porsche.com/en/2025/company/porsche-realignment-product-strategy-40594.html | https://newsroom.porsche.com/en/2025/company/porsche-second-quarter-half-year-2025-financial-figures-40184.html | https://www.motor1.com/news/760050/porsche-faces-trouble-evs-suvs/ | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan | https://www.theguardian.com/business/article/2024/sep/04/volkswagen-has-a-year-maybe-two-to-turn-around-financial-chief-warns
This Year,DATE,8,4,https://eu.detroitnews.com/story/business/autos/chrysler/2026/02/05/excuses-are-over-stellantis-tells-dealers-sales-must-grow-this-year/88513866007/ | https://fortune.com/europe/2024/09/30/volkswagen-second-profit-warning/ | https://www.motortrend.com/news/stellantis-26-billion-loss-future-plans | https://www.motortrend.com/news/volkswagen-2024-financial-results-us-regroup-plan
